time_s,freq_hz,mode,battery_mw,soc_mwh
0.0,50.0,ARBITRAGE,-150.0,500.000390875
0.01,50.0,ARBITRAGE,-150.0,500.00078175
0.02,50.0,ARBITRAGE,-150.0,500.001172625
0.03,50.0,ARBITRAGE,-150.0,500.0015635
0.04,50.0,ARBITRAGE,-150.0,500.00195437499997
0.05,50.0,ARBITRAGE,-150.0,500.00234524999996
0.06,50.0,ARBITRAGE,-150.0,500.00273612499996
0.07,50.0,ARBITRAGE,-150.0,500.00312699999995
0.08,50.0,ARBITRAGE,-150.0,500.00351787499994
0.09,50.0,ARBITRAGE,-150.0,500.00390874999994
0.1,50.0,ARBITRAGE,-150.0,500.00429962499993
0.11,50.0,ARBITRAGE,-150.0,500.0046904999999
0.12,50.0,ARBITRAGE,-150.0,500.0050813749999
0.13,50.0,ARBITRAGE,-150.0,500.0054722499999
0.14,50.0,ARBITRAGE,-150.0,500.0058631249999
0.15,50.0,ARBITRAGE,-150.0,500.0062539999999
0.16,50.0,ARBITRAGE,-150.0,500.0066448749999
0.17,50.0,ARBITRAGE,-150.0,500.0070357499999
0.18,50.0,ARBITRAGE,-150.0,500.0074266249999
0.19,50.0,ARBITRAGE,-150.0,500.0078174999999
0.2,50.0,ARBITRAGE,-150.0,500.00820837499987
0.21,50.0,ARBITRAGE,-150.0,500.00859924999986
0.22,50.0,ARBITRAGE,-150.0,500.00899012499985
0.23,50.0,ARBITRAGE,-150.0,500.00938099999985
0.24,50.0,ARBITRAGE,-150.0,500.00977187499984
0.25,50.0,ARBITRAGE,-150.0,500.01016274999984
0.26,50.0,ARBITRAGE,-150.0,500.01055362499983
0.27,50.0,ARBITRAGE,-150.0,500.0109444999998
0.28,50.0,ARBITRAGE,-150.0,500.0113353749998
0.29,50.0,ARBITRAGE,-150.0,500.0117262499998
0.3,50.0,ARBITRAGE,-150.0,500.0121171249998
0.31,50.0,ARBITRAGE,-150.0,500.0125079999998
0.32,50.0,ARBITRAGE,-150.0,500.0128988749998
0.33,50.0,ARBITRAGE,-150.0,500.0132897499998
0.34,50.0,ARBITRAGE,-150.0,500.0136806249998
0.35000000000000003,50.0,ARBITRAGE,-150.0,500.0140714999998
0.36,50.0,ARBITRAGE,-150.0,500.01446237499977
0.37,50.0,ARBITRAGE,-150.0,500.01485324999976
0.38,50.0,ARBITRAGE,-150.0,500.01524412499975
0.39,50.0,ARBITRAGE,-150.0,500.01563499999975
0.4,50.0,ARBITRAGE,-150.0,500.01602587499974
0.41000000000000003,50.0,ARBITRAGE,-150.0,500.01641674999973
0.42,50.0,ARBITRAGE,-150.0,500.01680762499973
0.43,50.0,ARBITRAGE,-150.0,500.0171984999997
0.44,50.0,ARBITRAGE,-150.0,500.0175893749997
0.45,50.0,ARBITRAGE,-150.0,500.0179802499997
0.46,50.0,ARBITRAGE,-150.0,500.0183711249997
0.47000000000000003,50.0,ARBITRAGE,-150.0,500.0187619999997
0.48,50.0,ARBITRAGE,-150.0,500.0191528749997
0.49,50.0,ARBITRAGE,-150.0,500.0195437499997
0.5,50.0,ARBITRAGE,-150.0,500.0199346249997
0.51,50.0,ARBITRAGE,-150.0,500.0203254999997
0.52,50.0,ARBITRAGE,-150.0,500.02071637499967
0.53,50.0,ARBITRAGE,-150.0,500.02110724999966
0.54,50.0,ARBITRAGE,-150.0,500.02149812499965
0.55,50.0,ARBITRAGE,-150.0,500.02188899999965
0.56,50.0,ARBITRAGE,-150.0,500.02227987499964
0.5700000000000001,50.0,ARBITRAGE,-150.0,500.02267074999963
0.58,50.0,ARBITRAGE,-150.0,500.0230616249996
0.59,50.0,ARBITRAGE,-150.0,500.0234524999996
0.6,50.0,ARBITRAGE,-150.0,500.0238433749996
0.61,50.0,ARBITRAGE,-150.0,500.0242342499996
0.62,50.0,ARBITRAGE,-150.0,500.0246251249996
0.63,50.0,ARBITRAGE,-150.0,500.0250159999996
0.64,50.0,ARBITRAGE,-150.0,500.0254068749996
0.65,50.0,ARBITRAGE,-150.0,500.0257977499996
0.66,50.0,ARBITRAGE,-150.0,500.0261886249996
0.67,50.0,ARBITRAGE,-150.0,500.02657949999957
0.68,50.0,ARBITRAGE,-150.0,500.02697037499956
0.6900000000000001,50.0,ARBITRAGE,-150.0,500.02736124999956
0.7000000000000001,50.0,ARBITRAGE,-150.0,500.02775212499955
0.71,50.0,ARBITRAGE,-150.0,500.02814299999955
0.72,50.0,ARBITRAGE,-150.0,500.02853387499954
0.73,50.0,ARBITRAGE,-150.0,500.02892474999953
0.74,50.0,ARBITRAGE,-150.0,500.0293156249995
0.75,50.0,ARBITRAGE,-150.0,500.0297064999995
0.76,50.0,ARBITRAGE,-150.0,500.0300973749995
0.77,50.0,ARBITRAGE,-150.0,500.0304882499995
